Question,Answer
Why cant my client hear me on a CARE call,"In order to begin a CARE call successfully, you must confirm each of the below. If you reply, please indicate which of the below you have verifiedYour speaker volume is up & microphone access is on (or Allowed in device settings for Think Agent mobile app)
You are logged-in to Think Agent on your desktop or mobile device
You are calling/ 3-way conferencing in the correct phone number  1-844-978-4465
Hint: Instead of 3-way conferencing, try our outbound call option using the green phone icon in your clients lead!
Wait for the prompt to finish before entering your NPN, and pressing # key
See the CARE call pop-up on your Think Agent screen & accept the call. Telephone icon appears in upper right
Note: If 3-way conferencing/ merging calls, once you accept the call on your desktop, mute your desktop speakers or there may be echo/ feedback.
Please see the attached training or CARE video linked below for more details. https://storage.googleapis.com/thinkagentresource/Telephonic%20Enrollment%20Script/CAREv3.mp4
"
Where can I learn more about Think Agent,If youd like to learn more about Think Agent you can access trainings and other materials in your Resources tab within Think Agent.
How do I schedule a retail event within Think Agent,"Retail events can be requested 18 days in the future in Think Agent. 
To request a Retail event, access your calendar, select your preferred day and click the + sign. You will be presented with the Retail Icon. Select the icon to advance to the next screen. 
Next, enter a zip code and adjust miles if applicable. 
Select your location and enter Start and Ed times, then click submit. 
"
How do I start the HRA,"After completing an Aetna MA/ MAPD enrollment from Think Agent - if your client agrees - you will have the opportunity to start the HRA from Think Agent. Important to know, there are two versions of the HRA - HMO/PPO and D-SNP, some plans excluded. Based upon the plan you enrolled, you will have access to the corresponding HRA. The HRA can be completed in Think Agent after completing an enrollment by any of the below methods only. The ""Start HRA"" button is available in Think Agent for the enrollment day + the next calendar day after the application has been submitted to Aetna (cannot be pending member or agent signature). Button will be available face-to-face and  telephonic enrollment signature method immediately upon submission of this enrollment. In case HRA not initiated immediately after submission, you should navigate to ""My enrollments"" page, select an enrollment - ""Start HRA"" button will be available on ""Enrollment Details"" page.  For ""Send for e-Signature"" option button will be available after member sign an enrollment application. For eKit- the HRA can be completed after a member submits their eKit enrollment"
What if I cancel or exit the HRA,"You may begin a new HRA from your My Enrollments page if the window of opportunity not passed since the application was submitted. Navigate to ""My enrollments"" page, select an enrollment - ""Start HRA"" button will be available on ""Enrollment Details"" page. You will have the remainder of the enrollment day + the next day to begin the HRA."
How can I sign up for a Think Agent Training,Live and local trainings can be found at www.aetnamedicareagenttraining.com
How do I send a scope of appointment,"To send an SOA from Think Agent click on the Sales tile 
Create your contact under Leads 
Select Create SOA to complete the short form 
Send via email or text for their signature 
"
How do I create an eKit,"Choose create eKit from your lead 
Choose a plan to send to your customer by email 
"
How do I enroll through Think Agent,"Click the Sales tile 
Then click Enroll 
Create your lead before shopping for plans in your leads geography 
Click Enroll Now to start the enrollment process! 
"
Can I use Think Agent on a mobile device,"Yes! You can download the Think Agent app in the Apple App Store for Apple devices. For Android devices, the app can be found on the Google Play store."
Where can I see all the applications Ive submitted,You can see the status of all applications including those submitted outside of Think Agent in Producer World.
What are HRA payment rules,"HRA payment amount depends on the product type (MA or D-SNP) and also depend on the below factors, and all must be true:1. Enrollment into an Aetna Medicare MA, MAPD or D-SNP plan (some plans excluded). PDP plans are not eligible for the HRA. 2.The HRA must be completed. You will have the remainder of the enrollment day + the next day to begin the HRA. 3. The enrollment must be a new (to Aetna) sale - Not plan changes. 4. The HRA cannot be completed after submitting a paper application. 5. The HRA must be started within the allowed time following enrollment submission. 6. Think Agent cannot re-open the HRA opportunity for any enrollment. For questions regarding these rules, please contactHRAProgramServices@aetna.com."
What is the Health Risk Assessment (HRA),"TheHealth Risk Assessment (HRA)is an evaluation completed by the agent with the beneficiary post-enrollment into a participating Aetna MA/ MAPD plan, including D-SNP. The assessment is designed to capture the member's current health-related details so that Aetna can better understand, coordinate & provide the appropriate resources to support the member on their health journey."
Why my HRA has not been paid,There might be multiple reasons for HRA not being paid. Here are some of them : 1. HRA is too new and has not been processed by our systems. 2. HRA does not satisfy payment rules. 3. Your enrollment has not been confirmed yet. 4. You might not be AOR for submitted enrollment. Please contactHRAProgramServices@aetna.comfor additional questions.
